CUST_ID	VIEW_COUNT
RLE1718001	141
RLA1119001	NULL
RL00130004	54
RL00100101	198
RL00101103	11
RL00101101	33
RL00100102	34
RL00101105	30
RL00400110	82
RL00107001	NULL
RLC2118001	20
RLC2318001	23
RL00130001	42
RL00101206	98
RL00101203	203
RL00199916	22
RL00499902	100
RL00100502	73
RL00104005	202
RL00104004	6
RL00114511	98
RL00400116	224
RL00109701	148
RL00400117	268
RL00400203	60
RL00400115	47
RL00103501	55
RL00103001	342
RL10705001	274
RL00104006	534
RL00199908	822
RL00102501	893
RL00199902	866
RL00100803	NULL
RL00106001	124
RL00108101	25
RL00102401	184
RL00100807	244
RL00104803	93
RL00104804	220
RL00100802	53
RL00100801	37
RL00104601	NULL
RL00100201	NULL
RL00100901	6
RL00101802	39
RL00109401	38
RL00103101	NULL
RL00105001	20
RL00109201	12
RL00121103	147
RL00110008	106
RL00200901	33
RL00100404	134
RLJ1818001	65
RL00010050	144
RL00400201	306
RL00400101	143
RL00400102	162
RL00400108	136
RL00107901	145
RL00101102	207
RL00400106	1946
RL00499901	283
RL00400105	57
RL00400112	244
RL00400107	191
RL00110005	124
RLD1018001	62
RL00100401	30
RL00400501	NULL
RL00109802	93
RL00400104	56
RL00421302	23
RL00109001	49
RL00421304	NULL
RL00421303	104
RL00421301	NULL
RLJ1818002	216
RL00103303	590
RL00100301	216
RL00103302	275
RL00104401	168
RL00199907	280
RL00108001	NULL
RLJ1818005	33
RL00105301	110
RL00199917	162
RL00103401	47
RLJ1818005	33
TR00100502	457
RL00121001	9
RL00107801	18
RL00109803	76
RL00010051	69
RL00102301	65
RL00100804	26
RL00108201	NULL
RLI1418002	7
RL10700005	95
RL00110003	102
RL00100110	62
RL00101912	NULL
RL00101905	66
RL00110010	28
RL10700002	21
RL10700003	52
RL00101911	53
RL00104802	336
RL00101910	85
RL10702102	21
RL10702101	1
RLJ1818006	64
RL00103301	459
RL00101906	420
TR00010244	2175
RL00110001	109
RLJ1818007	21
RL00199915	216
RL00101913	1229
RL10700101	368
RL10702003	136
RL10702002	326
RLJ1818008	229
RL10702001	187
RL00102502	86
RL00101909	224
RL10799901	109
RL00102201	23
TR00010507	NULL
RL00102101	25
RL00102001	21
