CUST_ID	VIEW_COUNT
RLE1718001	99
RLA1119001	27
RL00130004	57
RL00100101	144
RL00101103	11
RL00101101	32
RL00100102	24
RL00101105	31
RL00400110	51
RL00107001	NULL
RLC2118001	1
RLC2318001	36
RL00130001	26
RL00101206	54
RL00101203	154
RL00199916	31
RL00499902	100
RL00100502	76
RL00104005	32
RL00104004	NULL
RL00114511	105
RL00400116	220
RL00109701	187
RL00400117	121
RL00400203	30
RL00400115	50
RL00103501	96
RL00103001	303
RL10705001	162
RL00104006	164
RL00199908	569
RL00102501	658
RL00199902	650
RL00100803	NULL
RL00106001	132
RL00108101	NULL
RL00102401	90
RL00100807	81
RL00104803	126
RL00104804	220
RL00100802	51
RL00100801	34
RL00104601	NULL
RL00100201	NULL
RL00100901	9
RL00101802	46
RL00109401	22
RL00103101	NULL
RL00105001	26
RL00109201	NULL
RL00121103	126
RL00110008	75
RL00200901	38
RL00100404	132
RLJ1818001	52
RL00010050	219
RL00400201	328
RL00400101	185
RL00400102	141
RL00400108	113
RL00107901	99
RL00101102	231
RL00400106	1802
RL00499901	200
RL00400105	29
RL00400112	115
RL00400107	288
RL00110005	52
RLD1018001	70
RL00100401	23
RL00400501	NULL
RL00109802	65
RL00400104	76
RL00421302	21
RL00109001	29
RL00421304	NULL
RL00421303	102
RL00421301	1
RLJ1818002	222
RL00103303	866
RL00100301	171
RL00103302	170
RL00104401	237
RL00199907	272
RL00108001	NULL
RLJ1818005	1
RL00105301	109
RL00199917	362
RL00103401	46
RLJ1818005	1
TR00100502	357
RL00121001	6
RL00107801	27
RL00109803	86
RL00010051	25
RL00102301	39
RL00100804	38
RL00108201	NULL
RLI1418002	9
RL10700005	93
RL00110003	108
RL00100110	35
RL00101912	NULL
RL00101905	22
RL00110010	40
RL10700002	13
RL10700003	64
RL00101911	12
RL00104802	345
RL00101910	98
RL10702102	3
RL10702101	NULL
RLJ1818006	60
RL00103301	420
RL00101906	261
TR00010244	1580
RL00110001	77
RLJ1818007	20
RL00199915	143
RL00101913	809
RL10700101	332
RL10702003	220
RL10702002	691
RLJ1818008	218
RL10702001	311
RL00102502	69
RL00101909	210
RL10799901	72
RL00102201	22
TR00010507	NULL
RL00102101	23
RL00102001	32
