CUST_ID	VIEW_COUNT
RLE1718001	NULL
RLA1119001	NULL
RL00130004	79
RL00100101	182
RL00101103	32
RL00101101	44
RL00100102	68
RL00101105	50
RL00400110	NULL
RL00107001	NULL
RLC2118001	NULL
RLC2318001	NULL
RL00130001	2
RL00101206	89
RL00101203	169
RL00199916	96
RL00499902	183
RL00100502	92
RL00104005	4078
RL00104004	550
RL00114511	128
RL00400116	307
RL00109701	224
RL00400117	275
RL00400203	83
RL00400115	78
RL00103501	81
RL00103001	658
RL10705001	333
RL00104006	1306
RL00199908	485
RL00102501	NULL
RL00199902	999
RL00100803	230
RL00106001	78
RL00108101	123
RL00102401	47
RL00100807	223
RL00104803	53
RL00104804	292
RL00100802	95
RL00100801	61
RL00104601	74
RL00100201	NULL
RL00100901	50
RL00101802	179
RL00109401	45
RL00103101	NULL
RL00105001	68
RL00109201	51
RL00121103	44
RL00110008	176
RL00200901	226
RL00100404	316
RLJ1818001	NULL
RL00010050	124
RL00400201	378
RL00400101	195
RL00400102	2106
RL00400108	357
RL00107901	121
RL00101102	238
RL00400106	2273
RL00499901	528
RL00400105	259
RL00400112	435
RL00400107	300
RL00110005	78
RLD1018001	NULL
RL00100401	47
RL00400501	NULL
RL00109802	216
RL00400104	129
RL00421302	132
RL00109001	65
RL00421304	49
RL00421303	171
RL00421301	NULL
RLJ1818002	NULL
RL00103303	403
RL00100301	268
RL00103302	191
RL00104401	791
RL00199907	249
RL00108001	171
RLJ1818005	NULL
RL00105301	26
RL00199917	467
RL00103401	NULL
RLJ1818005	NULL
TR00100502	428
RL00121001	34
RL00107801	38
RL00109803	119
RL00010051	88
RL00102301	83
RL00100804	81
RL00108201	67
RLI1418002	NULL
RL10700005	72
RL00110003	123
RL00100110	55
RL00101912	NULL
RL00101905	89
RL00110010	53
RL10700002	32
RL10700003	68
RL00101911	154
RL00104802	257
RL00101910	155
RL10702102	67
RL10702101	NULL
RLJ1818006	NULL
RL00103301	450
RL00101906	425
TR00010244	1900
RL00110001	111
RLJ1818007	NULL
RL00199915	203
RL00101913	380
RL10700101	467
RL10702003	NULL
RL10702002	511
RLJ1818008	NULL
RL10702001	279
RL00102502	104
RL00101909	548
RL10799901	64
RL00102201	56
TR00010507	NULL
RL00102101	47
RL00102001	72
