CUST_ID	VIEW_COUNT
RLE1718001	59
RLA1119001	NULL
RL00130004	59
RL00100101	144
RL00101103	15
RL00101101	24
RL00100102	24
RL00101105	64
RL00400110	218
RL00107001	NULL
RLC2118001	20
RLC2318001	19
RL00130001	36
RL00101206	53
RL00101203	160
RL00199916	30
RL00499902	105
RL00100502	51
RL00104005	171
RL00104004	16
RL00114511	80
RL00400116	247
RL00109701	105
RL00400117	156
RL00400203	56
RL00400115	47
RL00103501	57
RL00103001	286
RL10705001	358
RL00104006	434
RL00199908	521
RL00102501	539
RL00199902	711
RL00100803	NULL
RL00106001	39
RL00108101	4
RL00102401	14
RL00100807	299
RL00104803	125
RL00104804	195
RL00100802	50
RL00100801	41
RL00104601	NULL
RL00100201	NULL
RL00100901	14
RL00101802	55
RL00109401	4
RL00103101	NULL
RL00105001	20
RL00109201	65
RL00121103	274
RL00110008	53
RL00200901	59
RL00100404	94
RLJ1818001	NULL
RL00010050	54
RL00400201	275
RL00400101	211
RL00400102	119
RL00400108	118
RL00107901	126
RL00101102	168
RL00400106	1889
RL00499901	247
RL00400105	80
RL00400112	157
RL00400107	141
RL00110005	277
RLD1018001	56
RL00100401	37
RL00400501	36
RL00109802	113
RL00400104	120
RL00421302	25
RL00109001	30
RL00421304	329
RL00421303	104
RL00421301	NULL
RLJ1818002	NULL
RL00103303	833
RL00100301	183
RL00103302	207
RL00104401	177
RL00199907	274
RL00108001	18
RLJ1818005	NULL
RL00105301	138
RL00199917	308
RL00103401	NULL
RLJ1818005	NULL
TR00100502	439
RL00121001	10
RL00107801	12
RL00109803	73
RL00010051	82
RL00102301	45
RL00100804	30
RL00108201	NULL
RLI1418002	NULL
RL10700005	24
RL00110003	75
RL00100110	69
RL00101912	NULL
RL00101905	28
RL00110010	28
RL10700002	16
RL10700003	56
RL00101911	143
RL00104802	359
RL00101910	202
RL10702102	20
RL10702101	NULL
RLJ1818006	NULL
RL00103301	366
RL00101906	397
TR00010244	1718
RL00110001	NULL
RLJ1818007	NULL
RL00199915	113
RL00101913	1035
RL10700101	277
RL10702003	195
RL10702002	318
RLJ1818008	NULL
RL10702001	250
RL00102502	73
RL00101909	305
RL10799901	81
RL00102201	25
TR00010507	NULL
RL00102101	23
RL00102001	19
