CUST_ID	VIEW_COUNT
RLE1718001	190
RLA1119001	NULL
RL00130004	36
RL00100101	181
RL00101103	9
RL00101101	37
RL00100102	37
RL00101105	45
RL00400110	52
RL00107001	NULL
RLC2118001	24
RLC2318001	22
RL00130001	24
RL00101206	72
RL00101203	360
RL00199916	33
RL00499902	100
RL00100502	81
RL00104005	171
RL00104004	NULL
RL00114511	98
RL00400116	200
RL00109701	162
RL00400117	155
RL00400203	47
RL00400115	40
RL00103501	70
RL00103001	329
RL10705001	269
RL00104006	420
RL00199908	485
RL00102501	736
RL00199902	647
RL00100803	NULL
RL00106001	116
RL00108101	16
RL00102401	212
RL00100807	162
RL00104803	123
RL00104804	268
RL00100802	48
RL00100801	28
RL00104601	NULL
RL00100201	NULL
RL00100901	9
RL00101802	25
RL00109401	46
RL00103101	NULL
RL00105001	20
RL00109201	6
RL00121103	115
RL00110008	109
RL00200901	32
RL00100404	141
RLJ1818001	67
RL00010050	160
RL00400201	300
RL00400101	146
RL00400102	116
RL00400108	91
RL00107901	122
RL00101102	178
RL00400106	1207
RL00499901	350
RL00400105	32
RL00400112	129
RL00400107	190
RL00110005	48
RLD1018001	55
RL00100401	25
RL00400501	NULL
RL00109802	110
RL00400104	92
RL00421302	24
RL00109001	37
RL00421304	NULL
RL00421303	84
RL00421301	NULL
RLJ1818002	221
RL00103303	751
RL00100301	160
RL00103302	213
RL00104401	108
RL00199907	286
RL00108001	198
RLJ1818005	10
RL00105301	96
RL00199917	207
RL00103401	43
RLJ1818005	10
TR00100502	421
RL00121001	4
RL00107801	22
RL00109803	74
RL00010051	71
RL00102301	91
RL00100804	26
RL00108201	NULL
RLI1418002	5
RL10700005	64
RL00110003	80
RL00100110	34
RL00101912	NULL
RL00101905	47
RL00110010	26
RL10700002	24
RL10700003	60
RL00101911	28
RL00104802	258
RL00101910	54
RL10702102	14
RL10702101	NULL
RLJ1818006	36
RL00103301	559
RL00101906	313
TR00010244	1439
RL00110001	130
RLJ1818007	21
RL00199915	292
RL00101913	666
RL10700101	324
RL10702003	227
RL10702002	405
RLJ1818008	195
RL10702001	217
RL00102502	72
RL00101909	224
RL10799901	62
RL00102201	26
TR00010507	NULL
RL00102101	21
RL00102001	23
