CUST_ID	VIEW_COUNT
RLE1718001	26
RLA1119001	NULL
RL00130004	41
RL00100101	135
RL00101103	9
RL00101101	34
RL00100102	34
RL00101105	19
RL00400110	116
RL00107001	NULL
RLC2118001	20
RLC2318001	14
RL00130001	35
RL00101206	85
RL00101203	144
RL00199916	30
RL00499902	100
RL00100502	54
RL00104005	NULL
RL00104004	173
RL00114511	84
RL00400116	209
RL00109701	131
RL00400117	132
RL00400203	68
RL00400115	29
RL00103501	59
RL00103001	339
RL10705001	251
RL00104006	513
RL00199908	603
RL00102501	163
RL00199902	1066
RL00100803	NULL
RL00106001	39
RL00108101	68
RL00102401	3
RL00100807	81
RL00104803	83
RL00104804	187
RL00100802	57
RL00100801	27
RL00104601	NULL
RL00100201	NULL
RL00100901	39
RL00101802	22
RL00109401	2
RL00103101	1
RL00105001	19
RL00109201	NULL
RL00121103	83
RL00110008	77
RL00200901	29
RL00100404	111
RLJ1818001	NULL
RL00010050	73
RL00400201	306
RL00400101	147
RL00400102	101
RL00400108	76
RL00107901	179
RL00101102	249
RL00400106	1781
RL00499901	241
RL00400105	137
RL00400112	194
RL00400107	513
RL00110005	66
RLD1018001	43
RL00100401	23
RL00400501	NULL
RL00109802	73
RL00400104	124
RL00421302	21
RL00109001	65
RL00421304	263
RL00421303	64
RL00421301	NULL
RLJ1818002	NULL
RL00103303	251
RL00100301	196
RL00103302	221
RL00104401	244
RL00199907	402
RL00108001	44
RLJ1818005	NULL
RL00105301	85
RL00199917	113
RL00103401	NULL
RLJ1818005	NULL
TR00100502	384
RL00121001	8
RL00107801	11
RL00109803	70
RL00010051	140
RL00102301	50
RL00100804	35
RL00108201	NULL
RLI1418002	NULL
RL10700005	28
RL00110003	107
RL00100110	24
RL00101912	NULL
RL00101905	40
RL00110010	22
RL10700002	10
RL10700003	31
RL00101911	175
RL00104802	172
RL00101910	19
RL10702102	26
RL10702101	4
RLJ1818006	NULL
RL00103301	479
RL00101906	273
TR00010244	1816
RL00110001	119
RLJ1818007	NULL
RL00199915	201
RL00101913	888
RL10700101	312
RL10702003	133
RL10702002	656
RLJ1818008	NULL
RL10702001	179
RL00102502	66
RL00101909	241
RL10799901	99
RL00102201	25
TR00010507	NULL
RL00102101	20
RL00102001	26
