CUST_ID	VIEW_COUNT
RLE1718001	3
RLA1119001	NULL
RL00130004	44
RL00100101	108
RL00101103	7
RL00101101	22
RL00100102	20
RL00101105	22
RL00400110	100
RL00107001	NULL
RLC2118001	20
RLC2318001	22
RL00130001	33
RL00101206	134
RL00101203	144
RL00199916	30
RL00499902	110
RL00100502	75
RL00104005	1
RL00104004	190
RL00114511	79
RL00400116	211
RL00109701	158
RL00400117	149
RL00400203	37
RL00400115	43
RL00103501	51
RL00103001	323
RL10705001	333
RL00104006	415
RL00199908	681
RL00102501	554
RL00199902	1067
RL00100803	NULL
RL00106001	25
RL00108101	10
RL00102401	39
RL00100807	245
RL00104803	72
RL00104804	186
RL00100802	56
RL00100801	40
RL00104601	NULL
RL00100201	NULL
RL00100901	43
RL00101802	73
RL00109401	8
RL00103101	NULL
RL00105001	22
RL00109201	NULL
RL00121103	91
RL00110008	76
RL00200901	64
RL00100404	136
RLJ1818001	NULL
RL00010050	70
RL00400201	338
RL00400101	142
RL00400102	176
RL00400108	115
RL00107901	136
RL00101102	187
RL00400106	1613
RL00499901	227
RL00400105	76
RL00400112	113
RL00400107	279
RL00110005	104
RLD1018001	61
RL00100401	51
RL00400501	46
RL00109802	134
RL00400104	40
RL00421302	19
RL00109001	55
RL00421304	1059
RL00421303	97
RL00421301	1
RLJ1818002	NULL
RL00103303	463
RL00100301	213
RL00103302	244
RL00104401	174
RL00199907	475
RL00108001	NULL
RLJ1818005	NULL
RL00105301	130
RL00199917	147
RL00103401	NULL
RLJ1818005	NULL
TR00100502	413
RL00121001	12
RL00107801	9
RL00109803	79
RL00010051	430
RL00102301	60
RL00100804	31
RL00108201	NULL
RLI1418002	NULL
RL10700005	48
RL00110003	71
RL00100110	29
RL00101912	NULL
RL00101905	32
RL00110010	24
RL10700002	22
RL10700003	52
RL00101911	129
RL00104802	337
RL00101910	150
RL10702102	27
RL10702101	NULL
RLJ1818006	NULL
RL00103301	548
RL00101906	270
TR00010244	1289
RL00110001	62
RLJ1818007	NULL
RL00199915	168
RL00101913	1026
RL10700101	310
RL10702003	225
RL10702002	470
RLJ1818008	NULL
RL10702001	259
RL00102502	66
RL00101909	241
RL10799901	91
RL00102201	28
TR00010507	NULL
RL00102101	23
RL00102001	27
