CUST_ID	VIEW_COUNT
RLE1718001	60
RLA1119001	NULL
RL00130004	43
RL00100101	139
RL00101103	8
RL00101101	33
RL00100102	26
RL00101105	56
RL00400110	106
RL00107001	NULL
RLC2118001	19
RLC2318001	15
RL00130001	36
RL00101206	57
RL00101203	287
RL00199916	25
RL00499902	100
RL00100502	63
RL00104005	105
RL00104004	27
RL00114511	118
RL00400116	197
RL00109701	153
RL00400117	179
RL00400203	46
RL00400115	67
RL00103501	39
RL00103001	356
RL10705001	256
RL00104006	774
RL00199908	563
RL00102501	903
RL00199902	753
RL00100803	NULL
RL00106001	216
RL00108101	13
RL00102401	121
RL00100807	304
RL00104803	94
RL00104804	225
RL00100802	66
RL00100801	29
RL00104601	NULL
RL00100201	NULL
RL00100901	23
RL00101802	34
RL00109401	40
RL00103101	NULL
RL00105001	18
RL00109201	23
RL00121103	174
RL00110008	90
RL00200901	21
RL00100404	132
RLJ1818001	40
RL00010050	72
RL00400201	328
RL00400101	155
RL00400102	164
RL00400108	111
RL00107901	157
RL00101102	216
RL00400106	2369
RL00499901	310
RL00400105	73
RL00400112	201
RL00400107	259
RL00110005	96
RLD1018001	61
RL00100401	60
RL00400501	4
RL00109802	128
RL00400104	110
RL00421302	26
RL00109001	67
RL00421304	NULL
RL00421303	85
RL00421301	NULL
RLJ1818002	121
RL00103303	919
RL00100301	200
RL00103302	244
RL00104401	243
RL00199907	425
RL00108001	NULL
RLJ1818005	13
RL00105301	143
RL00199917	222
RL00103401	52
RLJ1818005	13
TR00100502	409
RL00121001	4
RL00107801	11
RL00109803	94
RL00010051	99
RL00102301	43
RL00100804	23
RL00108201	NULL
RLI1418002	3
RL10700005	77
RL00110003	112
RL00100110	26
RL00101912	25
RL00101905	65
RL00110010	35
RL10700002	12
RL10700003	47
RL00101911	42
RL00104802	373
RL00101910	45
RL10702102	21
RL10702101	NULL
RLJ1818006	25
RL00103301	533
RL00101906	377
TR00010244	2155
RL00110001	108
RLJ1818007	10
RL00199915	263
RL00101913	996
RL10700101	330
RL10702003	171
RL10702002	451
RLJ1818008	72
RL10702001	223
RL00102502	69
RL00101909	527
RL10799901	73
RL00102201	27
TR00010507	NULL
RL00102101	25
RL00102001	21
