CUST_ID	VIEW_COUNT
RLE1718001	NULL
RLA1119001	NULL
RL00130004	104
RL00100101	173
RL00101103	17
RL00101101	65
RL00100102	83
RL00101105	40
RL00400110	112
RL00107001	NULL
RLC2118001	17
RLC2318001	10
RL00130001	66
RL00101206	78
RL00101203	220
RL00199916	67
RL00499902	185
RL00100502	96
RL00104005	4056
RL00104004	616
RL00114511	126
RL00400116	260
RL00109701	169
RL00400117	208
RL00400203	72
RL00400115	67
RL00103501	80
RL00103001	532
RL10705001	331
RL00104006	773
RL00199908	591
RL00102501	98
RL00199902	790
RL00100803	184
RL00106001	95
RL00108101	116
RL00102401	39
RL00100807	252
RL00104803	65
RL00104804	262
RL00100802	98
RL00100801	58
RL00104601	74
RL00100201	NULL
RL00100901	113
RL00101802	171
RL00109401	60
RL00103101	22
RL00105001	50
RL00109201	NULL
RL00121103	129
RL00110008	139
RL00200901	57
RL00100404	99
RLJ1818001	NULL
RL00010050	183
RL00400201	378
RL00400101	227
RL00400102	619
RL00400108	146
RL00107901	243
RL00101102	288
RL00400106	1671
RL00499901	214
RL00400105	280
RL00400112	198
RL00400107	591
RL00110005	168
RLD1018001	NULL
RL00100401	66
RL00400501	2
RL00109802	134
RL00400104	116
RL00421302	107
RL00109001	46
RL00421304	323
RL00421303	160
RL00421301	NULL
RLJ1818002	NULL
RL00103303	774
RL00100301	251
RL00103302	229
RL00104401	347
RL00199907	399
RL00108001	18
RLJ1818005	NULL
RL00105301	22
RL00199917	454
RL00103401	NULL
RLJ1818005	NULL
TR00100502	417
RL00121001	17
RL00107801	39
RL00109803	115
RL00010051	53
RL00102301	93
RL00100804	69
RL00108201	41
RLI1418002	NULL
RL10700005	69
RL00110003	103
RL00100110	64
RL00101912	NULL
RL00101905	107
RL00110010	46
RL10700002	19
RL10700003	34
RL00101911	309
RL00104802	149
RL00101910	77
RL10702102	53
RL10702101	33
RLJ1818006	NULL
RL00103301	484
RL00101906	304
TR00010244	1570
RL00110001	77
RLJ1818007	NULL
RL00199915	237
RL00101913	406
RL10700101	356
RL10702003	59
RL10702002	696
RLJ1818008	NULL
RL10702001	273
RL00102502	101
RL00101909	434
RL10799901	134
RL00102201	61
TR00010507	NULL
RL00102101	43
RL00102001	52
