CUST_ID	VIEW_COUNT
RLE1718001	NULL
RLA1119001	NULL
RL00130004	70
RL00100101	171
RL00101103	14
RL00101101	51
RL00100102	46
RL00101105	30
RL00400110	214
RL00107001	NULL
RLC2118001	28
RLC2318001	28
RL00130001	49
RL00101206	73
RL00101203	177
RL00199916	54
RL00499902	117
RL00100502	63
RL00104005	4145
RL00104004	452
RL00114511	95
RL00400116	254
RL00109701	157
RL00400117	198
RL00400203	60
RL00400115	50
RL00103501	70
RL00103001	282
RL10705001	293
RL00104006	352
RL00199908	516
RL00102501	71
RL00199902	887
RL00100803	3
RL00106001	33
RL00108101	44
RL00102401	44
RL00100807	221
RL00104803	92
RL00104804	194
RL00100802	85
RL00100801	62
RL00104601	42
RL00100201	NULL
RL00100901	57
RL00101802	65
RL00109401	39
RL00103101	35
RL00105001	38
RL00109201	NULL
RL00121103	105
RL00110008	26
RL00200901	76
RL00100404	161
RLJ1818001	NULL
RL00010050	112
RL00400201	325
RL00400101	183
RL00400102	138
RL00400108	126
RL00107901	251
RL00101102	307
RL00400106	2006
RL00499901	199
RL00400105	148
RL00400112	247
RL00400107	549
RL00110005	141
RLD1018001	37
RL00100401	57
RL00400501	38
RL00109802	65
RL00400104	105
RL00421302	40
RL00109001	56
RL00421304	175
RL00421303	99
RL00421301	NULL
RLJ1818002	NULL
RL00103303	790
RL00100301	223
RL00103302	224
RL00104401	343
RL00199907	407
RL00108001	NULL
RLJ1818005	NULL
RL00105301	75
RL00199917	133
RL00103401	NULL
RLJ1818005	NULL
TR00100502	445
RL00121001	NULL
RL00107801	22
RL00109803	90
RL00010051	71
RL00102301	56
RL00100804	59
RL00108201	NULL
RLI1418002	NULL
RL10700005	53
RL00110003	83
RL00100110	33
RL00101912	NULL
RL00101905	86
RL00110010	37
RL10700002	25
RL10700003	47
RL00101911	307
RL00104802	197
RL00101910	99
RL10702102	34
RL10702101	44
RLJ1818006	NULL
RL00103301	544
RL00101906	326
TR00010244	2078
RL00110001	84
RLJ1818007	NULL
RL00199915	273
RL00101913	1166
RL10700101	359
RL10702003	157
RL10702002	641
RLJ1818008	NULL
RL10702001	256
RL00102502	91
RL00101909	229
RL10799901	97
RL00102201	37
TR00010507	NULL
RL00102101	38
RL00102001	31
