CUST_ID	VIEW_COUNT
RLE1718001	24
RLA1119001	NULL
RL00130004	57
RL00100101	173
RL00101103	9
RL00101101	31
RL00100102	27
RL00101105	19
RL00400110	213
RL00107001	NULL
RLC2118001	19
RLC2318001	10
RL00130001	25
RL00101206	95
RL00101203	86
RL00199916	39
RL00499902	104
RL00100502	63
RL00104005	3350
RL00104004	528
RL00114511	80
RL00400116	230
RL00109701	155
RL00400117	204
RL00400203	54
RL00400115	50
RL00103501	52
RL00103001	455
RL10705001	610
RL00104006	677
RL00199908	627
RL00102501	87
RL00199902	815
RL00100803	NULL
RL00106001	30
RL00108101	42
RL00102401	7
RL00100807	251
RL00104803	146
RL00104804	257
RL00100802	62
RL00100801	41
RL00104601	NULL
RL00100201	3
RL00100901	72
RL00101802	28
RL00109401	20
RL00103101	27
RL00105001	20
RL00109201	NULL
RL00121103	141
RL00110008	92
RL00200901	22
RL00100404	119
RLJ1818001	NULL
RL00010050	127
RL00400201	296
RL00400101	146
RL00400102	151
RL00400108	109
RL00107901	174
RL00101102	267
RL00400106	1612
RL00499901	287
RL00400105	128
RL00400112	167
RL00400107	321
RL00110005	67
RLD1018001	65
RL00100401	67
RL00400501	48
RL00109802	242
RL00400104	117
RL00421302	31
RL00109001	45
RL00421304	86
RL00421303	77
RL00421301	NULL
RLJ1818002	NULL
RL00103303	627
RL00100301	289
RL00103302	222
RL00104401	223
RL00199907	522
RL00108001	27
RLJ1818005	NULL
RL00105301	21
RL00199917	75
RL00103401	NULL
RLJ1818005	NULL
TR00100502	713
RL00121001	NULL
RL00107801	6
RL00109803	78
RL00010051	57
RL00102301	46
RL00100804	40
RL00108201	NULL
RLI1418002	NULL
RL10700005	32
RL00110003	84
RL00100110	32
RL00101912	NULL
RL00101905	32
RL00110010	42
RL10700002	17
RL10700003	36
RL00101911	127
RL00104802	172
RL00101910	23
RL10702102	22
RL10702101	22
RLJ1818006	NULL
RL00103301	517
RL00101906	298
TR00010244	1745
RL00110001	117
RLJ1818007	NULL
RL00199915	189
RL00101913	1529
RL10700101	303
RL10702003	127
RL10702002	487
RLJ1818008	NULL
RL10702001	196
RL00102502	66
RL00101909	344
RL10799901	109
RL00102201	24
TR00010507	NULL
RL00102101	29
RL00102001	21
