CUST_ID	VIEW_COUNT
RLE1718001	NULL
RLA1119001	NULL
RL00130004	74
RL00100101	151
RL00101103	15
RL00101101	53
RL00100102	78
RL00101105	36
RL00400110	NULL
RL00107001	NULL
RLC2118001	NULL
RLC2318001	NULL
RL00130001	44
RL00101206	99
RL00101203	131
RL00199916	100
RL00499902	169
RL00100502	74
RL00104005	3345
RL00104004	472
RL00114511	124
RL00400116	284
RL00109701	260
RL00400117	203
RL00400203	94
RL00400115	58
RL00103501	95
RL00103001	597
RL10705001	407
RL00104006	1321
RL00199908	607
RL00102501	451
RL00199902	1023
RL00100803	203
RL00106001	70
RL00108101	153
RL00102401	13
RL00100807	262
RL00104803	43
RL00104804	274
RL00100802	95
RL00100801	67
RL00104601	70
RL00100201	4
RL00100901	63
RL00101802	133
RL00109401	76
RL00103101	NULL
RL00105001	67
RL00109201	NULL
RL00121103	46
RL00110008	167
RL00200901	86
RL00100404	223
RLJ1818001	NULL
RL00010050	133
RL00400201	418
RL00400101	204
RL00400102	954
RL00400108	310
RL00107901	75
RL00101102	257
RL00400106	1782
RL00499901	142
RL00400105	253
RL00400112	306
RL00400107	372
RL00110005	91
RLD1018001	NULL
RL00100401	45
RL00400501	12
RL00109802	185
RL00400104	108
RL00421302	143
RL00109001	96
RL00421304	126
RL00421303	141
RL00421301	NULL
RLJ1818002	NULL
RL00103303	298
RL00100301	345
RL00103302	275
RL00104401	607
RL00199907	426
RL00108001	9
RLJ1818005	NULL
RL00105301	109
RL00199917	375
RL00103401	NULL
RLJ1818005	NULL
TR00100502	440
RL00121001	10
RL00107801	73
RL00109803	118
RL00010051	61
RL00102301	102
RL00100804	91
RL00108201	79
RLI1418002	NULL
RL10700005	53
RL00110003	76
RL00100110	37
RL00101912	NULL
RL00101905	122
RL00110010	51
RL10700002	37
RL10700003	51
RL00101911	283
RL00104802	172
RL00101910	32
RL10702102	63
RL10702101	NULL
RLJ1818006	NULL
RL00103301	482
RL00101906	378
TR00010244	1634
RL00110001	110
RLJ1818007	NULL
RL00199915	214
RL00101913	441
RL10700101	395
RL10702003	NULL
RL10702002	433
RLJ1818008	NULL
RL10702001	314
RL00102502	105
RL00101909	459
RL10799901	89
RL00102201	45
TR00010507	NULL
RL00102101	42
RL00102001	48
